"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution"
"OrganisationalMeasure","Organisational Measure","Organisational measures required/followed when processing data of the declared category","TechnicalOrganisationalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"AuthorisationProcedure","Authorisation Procedure","Specifies procedures for determining permission or authority","OrganisationalMeasure","","non-technical authorisation procedures: How is it described on an organisational level, who gets access to the data","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"LegalAgreement","Legal Agreement","A legally binding agreement","OrganisationalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"NDA","NDA","Non-disclosure Agreements e.g. preserving confidentiality of information","LegalAgreement","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Contract","Contract","Contractual terms governing data handling within the data controller","LegalAgreement","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"GuidelinesPrinciple","GuidelinesPrinciple","Guidelines or Principles regarding processing and operational measures","OrganisationalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"CodeOfConduct","Code of Conduct","A set of rules or procedures outlining the norms and practices for conducting activities","GuidelinesPrinciple","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"DesignStandard","Design Standard","A set of rules or guidelines outlining criterias for design","GuidelinesPrinciple","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"PrivacyByDefault","Privacy by Default","Practices regarding selecting appropriate data protection and privacy measures as the 'default' in an activity or service","GuidelinesPrinciple","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"RiskManagementProcedure","Risk Management Procedure","Risk management refers to a coordinated set of activities and methods that is used to direct an organization and to control the many risks that can affect its ability to achieve objectives.  The term risk management also refers to the programme that is used to manage risk. This programme includes risk management principles, a risk management framework, and a risk management process.","OrganisationalMeasure","","Data Protection Impact Assessments as per GDPR art 35, other Privacy Impact Assessments, threat severity assessment https://www.cnil.fr/en/privacy-impact-assessment-pia","ISO 31000","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"PrivacyByDesign","Privacy by Design","Practices regarding incorporating data protection and privacy in the design of information and services","RiskManagementProcedure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"RegularityOfRecertification","Regularity of Re-certification","Specifies policy regarding repetition or renewal of existing certification(s)","RiskManagementProcedure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StaffTraining","Staff Training","Practices and policies regarding training of staff members","RiskManagementProcedure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"CertificationSeal","Certification and Seal","Category of certifications, seals, and marks indicating compliance to regulations or practices","OrganisationalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Certification","Certification","certification mechanisms, seals, and marks for the purpose of demonstrating compliance","CertificationSeal","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Seal","Seal","a seal or a mark indicating proof of certification to some certification or standard","CertificationSeal","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
